JXFZ000001;一中;4;120.772838,30.73967;5
JXFZ000457;南湖区税务局;4;120.785931853281,30.7531954947946;5
JXFZ000618;甪里街双溪路;4;120.783676319294,30.7638862809662;1
JXFZ000577;石堰苑南区西;4;120.773064522335,30.7136331616572;2
JXFZ000132;城南路嘉杭路;4;120.721383217355,30.7307132349572;1
JXFZ000362;皇都花苑;4;120.781575209407,30.7552085621325;5
JXFZ000737;秀洲大道万科金域缇;4;120.685015269393,30.7869173167867;1
JXFZ000266;佳园小区;4;120.709213649285,30.7698124537674;3
JXFZ000764;亚太花苑;4;120.809786962854,30.7458084620271;1
JXFZ000560;三元路建国北路;4;120.743985191742,30.7812348316646;1
JXFZ000227;秀园路洪贤路（智富;4;120.680102090378,30.7626196875529;1
JXFZ000645;市图书馆;4;120.760737822577,30.7473040741916;1
JXFZ000795;义庄东;4;120.694898237124,30.7792969747081;2
JXFZ000212;禾源新都（南区）;4;120.718652638646,30.7054696850034;2
JXFZ000524;市青少年宫;4;120.741867042868,30.7786189920372;1
JXFZ000682;西马桥小区;4;120.740622471784,30.7841792616783;3
JXFZ000927;长桥路腊梅路;4;120.739300000562,30.7263960006732;2
JXFZ000015;北师大附属学校;4;120.798784929011,30.7466242232454;10
JXFZ000408;甪里街纺工路;4;120.763259047982,30.7643902483938;1
JXFZ000482;南溪农贸市场;4;120.796102815913,30.7532923953295;4
JXFZ000854;城南路真合路;4;120.735065256624,30.7478548266594;4
JXFZ000400;双溪路望湖路;4;120.785625916523,30.7498636457574;1
JXFZ000144;放鹤洲小区一期;4;120.741252605987,30.7509715655944;1
JXFZ000136;范蠡湖公园;4;120.739257176824,30.7587546911396;3
JXFZ000552;三水湾农贸市场;4;120.774836334829,30.7599906616593;1
JXFZ000879;桐乡大道嘉杭路;4;120.718810213357,30.7442283267511;1
JXFZ000603;市运管局西;4;120.71685885884,30.7673583153863;2
JXFZ000096;华新花园南（大润发;4;120.708073538236,30.7605813330287;1
JXFZ000043;秀洲区公安分局;4;120.710028103307,30.7662086427285;1
JXFZ000063;中环东路周安路;4;120.772534568979,30.7812846700546;1
JXFZ000367;缪家圩路文贤路;4;120.781310007172,30.7284600034651;1
